sseqid	sseq_name
AL118516.10	Human DNA sequence from clone CTA-29F11 on chromosome 22, complete sequence
GU925821.1	Uncultured bacterium clone F5K2Q4C04IL5DQ 23S ribosomal RNA gene, partial sequence
AC240664.3	Homo sapiens FOSMID clone ABC27-1763L3 from chromosome 19, complete sequence
OL744670.1	Rhodotorula glutinis isolate sckud72 small subunit ribosomal RNA gene, partial sequence
AL358781.19	Human DNA sequence from clone RP11-334J6 on chromosome 9, complete sequence
AC004896.1	Homo sapiens PAC clone RP4-811H12 from 7, complete sequence
XR_006156053.1	PREDICTED: Cyprinus carpio 5S ribosomal RNA (LOC122139180), rRNA
OU343080.1	Cervus elaphus genome assembly, chromosome: 3
AC280070.1	Homo sapiens chromosome unknown clone CH17-57O18, complete sequence
XM_045466039.1	PREDICTED: Leopardus geoffroyi tubulin alpha 1a (TUBA1A), mRNA
JX458400.1	Zoogloea sp. B0.10-45 16S ribosomal RNA gene, complete sequence
GU928609.1	Uncultured eukaryote clone F5K2Q4C04IJAYD 28S ribosomal RNA gene, partial sequence
LR999460.1	Rhodotorula toruloides NP11 mitochondrial genome
OU941540.1	uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus02834
LR880646.1	Poecilia reticulata genome assembly, chromosome: 2
MZ420327.1	Spumella oblata strain Meonmulgak032418A8 large subunit ribosomal RNA gene, partial sequence
AC244503.2	Homo sapiens BAC clone CH17-103A11 from chromosome 7, complete sequence
KF931157.1	Acidovorax valerianellae strain KACC 16997 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
KJ897715.1	Synthetic construct Homo sapiens clone ccsbBroadEn_07109 TUBB2A gene, encodes complete protein
AF228730.8	Homo sapiens chromosome 8 clones SCb-332a23, CTB-415D8 map p23.1, complete sequences
OL826761.1	Colletotrichum siamense isolate ZB-3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
CP089111.1	Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 12 spore a chromosome XII
NR_076977.1	Advenella kashmirensis strain WT001 23S ribosomal RNA gene, complete sequence
CP069145.1	Verticillium nonalfalfae strain WCS 072 mitochondrion
JN907860.1	Uncultured microorganism clone GF13U7304IPMPZ 16S ribosomal RNA gene, partial sequence
CP004360.1	Komagataeibacter xylinus E25 chromosome, complete genome
JQ624280.1	Uncultured beta proteobacterium clone OTU-5-AFB 16S ribosomal RNA gene, partial sequence
XM_045449931.1	PREDICTED: Leopardus geoffroyi small EDRK-rich factor 2 (SERF2), transcript variant X2, mRNA
CP086023.1	Paracidovorax citrulli strain HPP21-3-3B chromosome, complete genome
DQ140099.2	Euglena granulata strain UTEX 2345 large subunit ribosomal RNA gene, partial sequence
CP003010.1	Thielavia terrestris NRRL 8126 chromosome 2, complete sequence
XM_045449562.1	PREDICTED: Leopardus geoffroyi annexin A2 (ANXA2), transcript variant X2, mRNA
HM141873.1	Uncultured bacterium clone MA-61-I98C 16S ribosomal RNA gene, partial sequence
CP061981.1	Aureobasidium melanogenum strain TN3-1 chromosome 2
XM_045112722.1	PREDICTED: Hordeum vulgare subsp. vulgare SKP1-interacting partner 15 (LOC123428501), mRNA
AY046772.1	Uncultured eukaryote isolate A3_E030 18S ribosomal RNA gene, partial sequence
CP072146.1	Rhizobium sp. K1/93 chromosome 1, complete sequence
KF931154.1	Acidovorax valerianellae strain SMBL 4 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
AB212138.1	Uncultured ammonia-oxidizing bacterium gene for 16S ribosomal RNA, partial sequence, clone: B8s8r
LK392430.1	Uncultured Hydrogenophaga sp. partial 16S rRNA gene, clone G10 Bg2-4 r
MT497461.1	Homo sapiens genomic sequence, sequence
XR_006383397.1	PREDICTED: Neovison vison 5S ribosomal RNA (LOC122901266), rRNA
OU939559.1	uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus00851
XR_006358883.1	PREDICTED: Solea senegalensis 5S ribosomal RNA (LOC122763115), rRNA
XM_015436478.2	PREDICTED: Macaca fascicularis heterogeneous nuclear ribonucleoprotein K (HNRNPK), transcript variant X7, mRNA
CP061739.1	Psychrobacter sp. 28M-43 chromosome, complete genome
HQ079816.1	Uncultured Rhodoferax sp. clone F5OHPNU07IKZH3 16S ribosomal RNA gene, partial sequence
HG973444.1	Uncultured Polynucleobacter sp. partial 16S rRNA gene, clone 96_1
AC194806.4	Pan troglodytes BAC clone CH251-615E20 from chromosome 17, complete sequence
AF085716.1	Adeno-associated virus 5 DNA binding trs helicase (Rep22) and capsid protein (VP1) genes, complete cds
XM_045399811.1	PREDICTED: Macaca fascicularis integrin subunit beta 1 (ITGB1), transcript variant X6, mRNA
AP012547.1	Sulfuritalea hydrogenivorans sk43H DNA, complete genome
XR_005239503.1	PREDICTED: Chlorocebus sabaeus 18S ribosomal RNA (LOC119622992), rRNA
AC009961.11	Homo sapiens BAC clone RP11-357L2 from 2, complete sequence
JN938951.1	Penicillium corylophilum strain DAOM 221130 28S ribosomal RNA (LSU) gene, partial sequence
KF550931.1	Peltaster cerophilus isolate 28.3 18S ribosomal RNA gene, partial sequence
KM062184.1	Homo sapiens haplogroup T1a2 mitochondrion, complete genome
CP003293.1	Propionibacterium acnes HL096PA1, complete genome
CP058554.1	Comamonas piscis strain BIGb0172 chromosome
XM_044833814.1	Morchella sextelata uncharacterized protein (H6S33_002473), partial mRNA
NR_040583.2	Homo sapiens STAG3 cohesin complex component like 1 (pseudogene) (STAG3L1), non-coding RNA
XR_006639378.1	PREDICTED: Jaculus jaculus 5S ribosomal RNA (LOC123464131), rRNA
NR_028272.1	Homo sapiens nuclear paraspeckle assembly transcript 1 (NEAT1), transcript variant MENepsilon, long non-coding RNA
OK142272.1	Deltopyxis triangulispora voucher G.M. 2016-12-06.2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
OK639186.1	Alternaria alternata strain AH1 large subunit ribosomal RNA gene, partial sequence
KJ707264.1	Uncultured bacterium clone QKAC3ZH121 16S ribosomal RNA gene, partial sequence
HM366468.1	Uncultured bacterium clone ADB-8 16S ribosomal RNA gene, partial sequence
CU466930.1	Candidatus Cloacamonas acidaminovorans str. Evry provisional genome sequence from WWE1 candidate division
KF931155.1	Acidovorax valerianellae strain DSM 16619 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
XR_006311176.1	PREDICTED: Chiloscyllium plagiosum 28S ribosomal RNA (LOC122548123), rRNA
KJ645589.1	Uncultured bacterium clone B573 16S ribosomal RNA gene, partial sequence
CP088954.1	Acinetobacter calcoaceticus strain ACa13 chromosome, complete genome
AC009269.6	Homo sapiens chromosome 15, clone RP11-138H8, complete sequence
GU923754.1	Uncultured bacterium clone F5K2Q4C04JFLGB 23S ribosomal RNA gene, partial sequence
M30951.1	Gorilla 28S ribosomal RNA gene fragment
AL008726.3	Human DNA sequence from clone RP3-337O18 on chromosome 20q12-13.1, complete sequence
CP047396.1	Candidatus Vallotia cooleyia isolate 19-005_Vallotia chromosome, complete genome
AY359940.1	Trachelomonas strain T603 large subunit ribosomal RNA gene, partial sequence
FJ161202.2	Hysterobrevium mori CBS:123335 28S large subunit ribosomal RNA gene, partial sequence
JX512459.1	Homo sapiens v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1) gene, complete cds
JQ272289.1	Soleneiscus radovani voucher QM G313661 28S ribosomal RNA gene, partial sequence
NG_058847.1	Cryomyces minteri CCFEE 5187 28S rRNA gene, partial sequence; from TYPE material
JF938151.1	Placynthium nigrum voucher Wheeler 2324 large subunit ribosomal RNA gene, partial sequence
AC010253.5	Homo sapiens chromosome 5 clone CTC-432B14, complete sequence
AC204684.4	Pan troglodytes BAC clone CH251-354P3 from chromosome 7, complete sequence
EF532821.2	Cyclops insignis 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
AP025185.1	Flavobacterium ammonificans SHINM13 DNA, complete genome
JN048230.1	Uncultured bacterium clone GP12C12 16S ribosomal RNA gene, partial sequence
XM_007461978.1	PREDICTED: Lipotes vexillifer EGF containing fibulin-like extracellular matrix protein 2 (EFEMP2), mRNA
GU926575.1	Uncultured bacterium clone F5K2Q4C04JDUYX 23S ribosomal RNA gene, partial sequence
CP084109.1	Micrococcus luteus strain anQ-m1 chromosome, complete genome
OK506225.1	Cladosporium exasperatum strain SDBR-CMU336 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
DQ015722.1	Chlamydomonas sp. CCMP236 strain CCMP 236 26S ribosomal RNA gene, partial sequence
OL672318.1	Acinetobacter sp. strain BA9 16S ribosomal RNA gene, partial sequence
KC674553.1	Uncultured fungus clone nco131d08c1 18S ribosomal RNA gene, partial sequence
AB473896.1	Uncultured endolithic bacterium gene for 16S rRNA, partial sequence, clone: EM_02_BAC
EU828456.1	Paramecium tetraurelia large subunit ribosomal RNA gene, complete sequence
XM_045387021.1	PREDICTED: Macaca fascicularis ribosomal protein L15 (RPL15), transcript variant X4, mRNA
AP001359.4	Homo sapiens genomic DNA, chromosome 11q clone:RP11-820L6, complete sequences
KJ632069.1	Acidovorax facilis strain 3-9 16S ribosomal RNA gene, partial sequence
OU343107.1	Cervus elaphus genome assembly, chromosome: 30
AC280114.1	Homo sapiens chromosome unknown clone VMRC66-359C02, complete sequence
CP088090.1	Rhizobium laguerreae strain WSM1455 chromosome, complete genome
KC674499.1	Uncultured fungus clone nco130g10c1 18S ribosomal RNA gene, partial sequence
AC279417.1	Homo sapiens chromosome unknown clone VMRC73-227F22, complete sequence
XR_006603093.1	PREDICTED: Mustela putorius furo 28S ribosomal RNA (LOC123388636), rRNA
GU474885.1	Uncultured Chromatiales bacterium HF0200_41F04 genomic sequence
KJ755394.1	Uncultured fungus isolate DGGE gel band 6 18S ribosomal RNA gene, partial sequence
CP059046.1	Micrococcus luteus strain R17 chromosome, complete genome
GU925830.1	Uncultured bacterium clone F5K2Q4C04JTHLT 23S ribosomal RNA gene, partial sequence
OL744970.1	Uncultured Glomeromycotina isolate OTU_104 small subunit ribosomal RNA gene, partial sequence
OL798051.1	Uncultured Kocuria sp. clone Asker4 16S ribosomal RNA gene, partial sequence
OL739233.1	Curvularia lunata isolate PNH041a large subunit ribosomal RNA gene, partial sequence
CP068286.1	Ralstonia syzygii subsp. celebesensis strain UGMSS_Db01 plasmid pRscUGMSS_Db01
CP087981.1	Xylella taiwanensis strain PLS11A chromosome
AC254813.1	Homo sapiens BAC clone CH17-90K13 from chromosome 7, complete sequence
JF938152.1	Placynthium nigrum voucher Wheeler 1850 large subunit ribosomal RNA gene, partial sequence
CP088916.1	Streptococcus anginosus strain 47S1 chromosome
KJ568450.1	Uncultured bacterium clone a13 16S ribosomal RNA gene, partial sequence
FJ719702.1	Strombomonas ovalis strain S115 16S ribosomal RNA gene, partial sequence; chloroplast
AC206732.2	Homo sapiens FOSMID clone ABC12-46373500D7 from chromosome 2, complete sequence
AM490698.1	Uncultured bacterium 16S rRNA gene, clone SS_LKC22_UB196
LK009013.1	TPA: Herminiimonas arsenicoxydans tRNA-Thr-GGT-1-1 gene
BC032717.1	Homo sapiens trafficking protein particle complex 1, mRNA (cDNA clone MGC:45011 IMAGE:5518603), complete cds
KF422129.1	Uncultured Delftia sp. clone VostokV6_c245 genomic sequence
HG818366.1	Uncultured bacterium partial 16S rRNA gene, clone EBP1045
NR_121914.1	Congregibacter litoralis strain KT71 23S ribosomal RNA gene, complete sequence
OL636308.1	Aquabacterium commune strain S_WE.SI110 16S ribosomal RNA gene, partial sequence
MW854373.1	Uncultured Orbales bacterium clone DN402.2 23S ribosomal RNA gene, partial sequence
AF217462.1	Candidatus Xiphinematobacter brevicolli 16S ribosomal RNA gene, partial sequence
AL390198.17	Human DNA sequence from clone RP13-401N8 on chromosome 20, complete sequence
CP050890.1	MAG: Thiohalocapsa sp. PB-PSB1 isolate PB-PSB1-LS01-2011a chromosome, complete genome
KJ613335.1	Uncultured bacterium clone 3-1-13-14 16S ribosomal RNA gene, partial sequence
MW433483.1	Uncultured eukaryote clone ASV209 small subunit ribosomal RNA gene, partial sequence
XR_006062719.1	PREDICTED: Peromyscus maniculatus bairdii 5S ribosomal RNA (LOC121821831), rRNA
NR_103106.1	Comamonas testosteroni strain CNB-1 23S ribosomal RNA gene, complete sequence
GU926296.1	Uncultured bacterium clone F5K2Q4C04IPVZ7 23S ribosomal RNA gene, partial sequence
HQ212889.1	Uncultured Caulobacteraceae bacterium clone 2_H20 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
CP084300.1	Acinetobacter pseudolwoffii strain XMC5X702 chromosome, complete genome
AC188427.4	Pan troglodytes BAC clone CH251-470E17 from chromosome 7, complete sequence
AC036164.14	Homo sapiens chromosome 17, clone RP11-356I18, complete sequence
GU926824.1	Uncultured bacterium clone F5K2Q4C04JJKJH 23S ribosomal RNA gene, partial sequence
CP073341.1	MAG: Candidatus Paraprochloron terpiosi LD05 chromosome, complete genome
AB051142.1	Macaca fascicularis brain cDNA, clone:QccE-18978
CR712409.2	Tetraodon nigroviridis full-length cDNA
CP063989.1	Actinomyces respiraculi strain ZJ750 chromosome, complete genome
AL392111.12	Human DNA sequence from clone RP11-487I5 on chromosome 10, complete sequence
KJ698647.1	Comamonas sp. cd052 16S ribosomal RNA gene, partial sequence
CP070789.1	MAG: Desulfobacterales bacterium isolate bin1454 chromosome
XM_005541419.3	PREDICTED: Macaca fascicularis interferon stimulated exonuclease gene 20 like 2 (ISG20L2), transcript variant X4, mRNA
LK009773.1	TPA: Leptothrix cholodnii SP-6 tRNA-Thr-GGT-1-1 gene
CP058350.1	Peteryoungia desertarenae strain ADMK78 chromosome, complete genome
OL813498.1	Pseudochaetosphaeronema sp. strain NI167 large subunit ribosomal RNA gene, partial sequence
HQ659119.1	Homo sapiens clone 87 satellite DXZ4 sequence
OK071558.1	Uncultured bacterium clone ASV_323 16S ribosomal RNA gene, partial sequence
AC254821.1	Homo sapiens chromosome 17 clone CH17-33G3, complete sequence
KJ589437.1	Flavobacterium aquidurense strain FKB1 16S ribosomal RNA gene, partial sequence
AC280155.1	Pan troglodytes chromosome unknown clone CH251-61M21, complete sequence
GU926172.1	Uncultured bacterium clone F5K2Q4C04JI1QH 23S ribosomal RNA gene, partial sequence
XR_004957217.1	PREDICTED: Molossus molossus U1 spliceosomal RNA (LOC118619442), ncRNA
CP052846.1	Bordetella hinzii strain 2B1 chromosome, complete genome
KJ707267.1	Uncultured bacterium clone QKAC4ZE111 16S ribosomal RNA gene, partial sequence
AB209438.1	Homo sapiens mRNA for PWP2 periodic tryptophan protein homolog protein
HQ212379.1	Uncultured Rhizobiales bacterium clone 1_A19 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
CP068738.1	Danio rerio strain T5D chromosome 4
LR983492.1	uncultured bacterium partial 16S rRNA gene
XR_003587981.2	PREDICTED: Ovis aries 18S ribosomal RNA (LOC114112702), rRNA
AC198619.4	Pan troglodytes BAC clone CH251-595H12 from chromosome 7, complete sequence
CP082244.1	Pseudomonas otitidis strain CSMC7.1 chromosome, complete genome
OL811762.1	Delftia sp. strain W0C6 16S ribosomal RNA gene, partial sequence
NR_076651.1	Variovorax paradoxus strain S110 23S ribosomal RNA gene, complete sequence
GQ462948.1	Uncultured eukaryote clone e9_5_13 18S ribosomal RNA gene, partial sequence
GU924378.1	Uncultured bacterium clone F5K2Q4C04IQFAI 23S ribosomal RNA gene, partial sequence
OL798022.1	Pseudomonas sp. strain 1052_Psudmo3 16S ribosomal RNA gene, partial sequence
OL677051.1	Massilia consociata strain FC09 16S ribosomal RNA gene, partial sequence
NM_001291463.2	Homo sapiens TBC1 domain family member 3I (TBC1D3I), mRNA
XM_045367083.1	PREDICTED: Macaca fascicularis 60S acidic ribosomal protein P0-like (LOC123567898), mRNA
KJ892023.1	Synthetic construct Homo sapiens clone ccsbBroadEn_01417 RPL6 gene, encodes complete protein
BC005159.2	Homo sapiens collagen, type VI, alpha 1, mRNA (cDNA clone IMAGE:3506644), partial cds
MZ975490.1	Uncultured bacterium clone 615 16S ribosomal RNA gene, partial sequence
XR_006695749.1	PREDICTED: Macaca fascicularis 28S ribosomal RNA (LOC123571591), rRNA
NR_076998.1	Aromatoleum aromaticum strain EbN1 23S ribosomal RNA gene, complete sequence
XR_004911635.1	PREDICTED: Halichoerus grypus 5S ribosomal RNA (LOC118524476), rRNA
CP080493.1	Pseudochrobactrum sp. Wa41.01b-1 chromosome, complete genome
CP061928.1	Aureobasidium melanogenum strain P16 chromosome 12
OL739262.1	Setomelanomma holmii strain CBS 110217 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
LC513859.1	Sarea resinae AH1149 gene for 18S ribosomal RNA, partial sequence
XR_005973942.1	PREDICTED: Microtus oregoni 28S ribosomal RNA (LOC121445505), rRNA
CP074585.1	Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome
KF156044.1	Scolecobasidium cateniphorum strain CBS 769.83 18S ribosomal RNA gene, partial sequence
NR_102543.1	Thioflavicoccus mobilis strain 8321 23S ribosomal RNA gene, complete sequence
NR_046276.1	Gallus gallus 5S ribosomal RNA (RN5S), ribosomal RNA
CP084377.1	Lactococcus garvieae strain Lg-Granada chromosome, complete genome
KC841506.1	Uncultured bacterium clone YLB02 16S ribosomal RNA gene, partial sequence
XM_004772790.3	PREDICTED: Mustela putorius furo leucine rich repeat containing 58 (LRRC58), mRNA
XR_006094806.1	PREDICTED: Thunnus maccoyii 5S ribosomal RNA (LOC121892842), rRNA
LR877206.1	Onychomys torridus genome assembly, chromosome: 19
KJ848561.1	Prolinoborus fasciculus strain BT 28 16S ribosomal RNA gene, partial sequence
XM_010336409.2	PREDICTED: Saimiri boliviensis boliviensis thymosin beta 4 X-linked (TMSB4X), mRNA
JN119190.1	Uncultured marine bacterium clone FJ-SC70 16S ribosomal RNA gene, partial sequence
KF826962.1	Uncultured beta proteobacterium clone B-5-3 16S ribosomal RNA gene, partial sequence
GU923608.1	Uncultured bacterium clone F5K2Q4C04JC3ZX 23S ribosomal RNA gene, partial sequence
XR_005237806.1	PREDICTED: Chlorocebus sabaeus small nucleolar RNA SNORA64/SNORA10 family (LOC119621239), ncRNA
JQ805735.1	Uncultured fungus clone transfer_B3 18S ribosomal RNA gene, partial sequence
CP087986.1	Paracoccus denitrificans strain R-1 chromosome 1
OU607615.1	Thunnus albacares genome assembly, chromosome: 24
CP003840.1	Streptococcus constellatus subsp. pharyngis C818, complete genome
AC098799.2	Homo sapiens BAC clone RP11-642E20 from 4, complete sequence
KF875650.1	Uncultured bacterium clone 2-107 16S ribosomal RNA gene, partial sequence
M20913.1	Synthetic human ribosomal 5S RNA gene
CP085345.1	Cupriavidus sp. MP-37 chromosome 2, complete sequence
KF161299.1	Homo sapiens isolate 100200628 mitochondrion, complete genome
AC206718.3	Pongo abelii BAC clone CH276-121E5 from chromosome 5, complete sequence
NG_005394.3	Homo sapiens ADP ribosylation factor like GTPase 4A pseudogene 2 (ARL4AP2) on chromosome 4
KJ830148.1	Uncultured bacterium clone BF_45 16S ribosomal RNA gene, partial sequence
XR_006715453.1	PREDICTED: Leopardus geoffroyi 5.8S ribosomal RNA (LOC123604718), rRNA
JN191197.1	Pan paniscus isolate 168Zorba mitochondrion, complete genome
OV277452.1	Meles meles genome assembly, chromosome: 11
XR_004911636.1	PREDICTED: Halichoerus grypus 5S ribosomal RNA (LOC118524477), rRNA
AL021368.1	Human DNA sequence from clone SCb-55C20 on chromosome 6, complete sequence
GU917756.1	Uncultured bacterium clone F5K2Q4C04IDKB8 16S ribosomal RNA gene, partial sequence
L43353.1	Chlamydomonas geitleri chloroplast large subunit ribosomal RNA (rrnL) gene
HG973432.1	Uncultured Curvibacter sp. partial 16S rRNA gene, clone 55_1
DQ986749.1	Loxospora cismonica isolate AFTOL-ID 878 28S large subunit ribosomal RNA gene, partial sequence
XR_005648716.1	PREDICTED: Pteropus giganteus 5S ribosomal RNA (LOC120586490), rRNA
CP065684.1	Burkholderia oklahomensis strain FDAARGOS_900 chromosome 2, complete sequence
JF907286.1	Uncultured bacterium clone 40 16S ribosomal RNA gene, partial sequence
AP024028.1	Homo sapiens DNA, sequence_id: unplaced_0543
AF419701.3	Gallus gallus intergenic spacer region and 5S ribosomal RNA gene, complete sequence
CP061041.1	Staphylococcus warneri strain WS479 chromosome, complete genome
XR_006700095.1	PREDICTED: Macaca fascicularis small nucleolar RNA SNORD116 (LOC123574912), ncRNA
GU926470.1	Uncultured bacterium clone F5K2Q4C04IUWZG 23S ribosomal RNA gene, partial sequence
CP082861.1	Eikenella corrodens strain FDAARGOS_1474 chromosome, complete genome
CP063869.1	Klebsiella quasipneumoniae strain M72-2-2 chromosome, complete genome
JQ356848.1	Cryptoglena sp. 3 JIK-2012 strain FRC112909C large subunit ribosomal RNA gene, partial sequence; plastid
FJ916026.1	Macaca mulatta 7SK snRNA, complete sequence
KJ707448.1	Uncultured bacterium clone QKAB1ZD101 16S ribosomal RNA gene, partial sequence
GU924801.1	Uncultured bacterium clone F5K2Q4C04I761T 23S ribosomal RNA gene, partial sequence
XR_004969741.1	PREDICTED: Myotis myotis 5S ribosomal RNA (LOC118662383), rRNA
JX405613.1	Uncultured marine bacterium clone B17-9 16S ribosomal RNA gene, partial sequence
HG994404.1	Canis lupus genome assembly, chromosome: 25
AF183460.1	Chlamydomonas noctigama culture SAG:33.72 strain SAG 33.72 28S ribosomal RNA gene, partial sequence
KF927474.1	Uncultured bacterium clone MD45 16S ribosomal RNA gene, partial sequence
JQ740003.1	Umbilicaria vellea internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
GU925572.1	Uncultured bacterium clone F5K2Q4C04IZL9C 23S ribosomal RNA gene, partial sequence
JX997844.1	Acidovorax sp. X-11-3 16S ribosomal RNA gene, partial sequence
BC143763.1	Homo sapiens fibronectin 1, mRNA (cDNA clone MGC:177294 IMAGE:9052277), complete cds
NR_076404.1	Novosphingobium aromaticivorans strain F199 23S ribosomal RNA gene, complete sequence
AP023503.1	Homo sapiens DNA, sequence_id: unplaced_0018
OV277455.1	Meles meles genome assembly, chromosome: 14
FJ352097.1	Uncultured eukaryote clone 060329_T6S1_W_T_SDP_105 small subunit ribosomal RNA gene, partial sequence
XR_004975151.1	PREDICTED: Myotis myotis 5S ribosomal RNA (LOC118679158), rRNA
OL780803.1	Pseudomonas sp. 610 16S ribosomal RNA gene, partial sequence
AB754037.1	Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: rS35m_5
LC658658.1	Rhodoferax sp. MIZ03 gene for 16S ribosomal RNA
LK018392.1	TPA: Syntrophus aciditrophicus SB tRNA-Ser-GCT-1-1 gene
OL539743.1	Amylocarpus encephaloides strain TRa018bII small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
NR_075489.1	Psychrobacter sp. PRwf-1 strain PRwf-1 5S ribosomal RNA, complete sequence
NR_170994.1	Mus musculus predicted gene, 26917 (Gm26917), long non-coding RNA
FR854084.1	blood disease bacterium R229, genomic contig 00008-1627
CP088100.1	Bradyrhizobium japonicum strain CC829 chromosome, complete genome
OU942499.1	uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus03793
XM_045390327.1	PREDICTED: Macaca fascicularis transcription factor B1, mitochondrial (TFB1M), transcript variant X1, mRNA
AC279676.1	Homo sapiens chromosome unknown clone VMRC59-470M24, complete sequence
CP068263.2	Homo sapiens isolate CHM13 chromosome 15
NG_034052.1	Homo sapiens protein tyrosine phosphatase receptor type Q (PTPRQ), RefSeqGene on chromosome 12
AP024047.1	Homo sapiens DNA, sequence_id: unplaced_0562
GU928622.1	Uncultured eukaryote clone F5K2Q4C04I2HRE 28S ribosomal RNA gene, partial sequence
CP085971.1	Bordetella parapertussis strain FDAARGOS_1541 chromosome, complete genome
AC245026.1	Homo sapiens FOSMID clone ABC11-49339800P11 from chromosome unknown, complete sequence
XR_006700088.1	PREDICTED: Macaca fascicularis small nucleolar RNA SNORD116 (LOC123574905), ncRNA
JX105535.1	Uncultured bacterium clone T0-An-20C-26 16S ribosomal RNA gene, complete sequence
AB753918.1	Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: rS5m_3
CP070304.1	Glaciimonas sp. PAMC28666 chromosome, complete genome
CP059070.1	Cryomorphaceae bacterium strain ECT2AJA-044 chromosome, complete genome
AC280194.1	Pan troglodytes chromosome unknown clone CH251-3P07, complete sequence
CP001043.1	Paraburkholderia phymatum STM815 chromosome 1, complete sequence
GU924901.1	Uncultured bacterium clone F5K2Q4C04J25YX 23S ribosomal RNA gene, partial sequence
MZ420170.1	Homo sapiens isolate MDA0000190 MHC class I antigen (HLA-A) gene, HLA-A*01:14V allele, complete cds
GQ867794.1	Ascosphaera atra strain 693A 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
CU104736.1	Human DNA sequence from clone XX-NCIH2171_5G15, complete sequence
KC666826.1	Uncultured bacterium clone AB_05_148 16S ribosomal RNA gene, partial sequence
CP006833.1	Campylobacter fetus subsp. testudinum 03-427 chromosome, complete genome
CP085961.1	Capnocytophaga ochracea strain FDAARGOS_1550 chromosome, complete genome
KC462682.1	Uncultured bacterium clone ZZ408_14 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
BK005567.1	TPA_exp: Homo sapiens scaRNA mgU2-19/30 guide RNA gene, complete sequence
CP041216.1	Shewanella glacialimarina strain TZS-4 chromosome, complete genome
KF880932.1	Penicillium corylophilum strain 7.5 28S ribosomal RNA gene, partial sequence
AC133965.3	Homo sapiens BAC clone RP11-781F15 from 2, complete sequence
GU926629.1	Uncultured bacterium clone F5K2Q4C04I12TO 23S ribosomal RNA gene, partial sequence
CP058708.1	MAG: Candidatus Accumulibacter cognatus isolate SSA1 chromosome
HF549069.1	Synura asmundiae partial 18S rRNA gene, strain S 90.D11
AC211458.4	Homo sapiens BAC clone CH17-291L7 from chromosome 7, complete sequence
KF015650.1	Medicopsis romeroi strain CBS 123975 18S ribosomal RNA gene, partial sequence
KJ600574.1	Uncultured Enterobacter sp. clone N-05Biofilm079 16S ribosomal RNA gene, partial sequence
GQ162090.1	Uncultured bacterium clone H-2-46 16S ribosomal RNA gene, partial sequence
XM_045390178.1	PREDICTED: Macaca fascicularis tenascin-X (LOC102131497), transcript variant X9, mRNA
JN191184.1	Pan troglodytes schweinfurthii isolate 11785Exota mitochondrion, complete genome
