sseqid	sseq_name
OEU06059.1	hypothetical protein FRACYDRAFT_202769, partial [Fragilariopsis cylindrus CCMP1102]
XP_021793192.1	28S ribosomal protein L42, mitochondrial, partial [Papio anubis]
KAI3491059.1	hypothetical protein L1887_44658 [Cichorium endivia]
GBQ34451.1	hypothetical protein AA19596_1483 [Acetobacter fabarum DSM 19596]
WP_232434252.1	hypothetical protein, partial [Burkholderia ubonensis]
SDW29317.1	hypothetical protein SAMN04489725_1042 [Alicyclobacillus hesperidum]
KAF9648910.1	hypothetical protein BDM02DRAFT_3269160 [Thelephora ganbajun]
PKX99780.1	hypothetical protein P168DRAFT_313786 [Aspergillus campestris IBT 28561]
CAI2174852.1	9324_t:CDS:2 [Funneliformis geosporum]
XP_018645349.1	hypothetical protein Smp_184280, partial [Schistosoma mansoni]
EEA89342.1	hypothetical protein COLSTE_02536 [Collinsella stercoris DSM 13279]
KAH7954047.1	hypothetical protein HPB49_015178 [Dermacentor silvarum]
SCX05907.1	hypothetical protein CJBVI_0442 [Corynebacterium jeikeium]
EFH30930.1	conserved hypothetical protein, partial [Streptomyces pristinaespiralis ATCC 25486]
VXD18895.1	Predicted protein [Planktothrix serta PCC 8927]
GDZ06542.1	hypothetical protein MCC01951_02950 [Bifidobacteriaceae bacterium MCC01951]
OSL43037.1	hypothetical protein EATG_04237, partial [Escherichia coli H605]
KAI2586398.1	SS18 subunit of BAF chromatin remodeling complex [Homo sapiens]
RZJ15207.1	MAG: phosphonate C-P lyase system protein PhnG [Acidovorax sp.]
PQV71873.1	hypothetical protein CDT89_20970, partial [Cronobacter sakazakii]
WP_233426394.1	hypothetical protein, partial [Parabacteroides gordonii]
GER71891.1	hypothetical protein BpJC7_31940 [Weizmannia acidilactici]
RYR07653.1	hypothetical protein Ahy_B05g075053 [Arachis hypogaea]
CJA30742.1	degenerate transposase [Streptococcus pneumoniae]
SBT59097.1	hypothetical protein POVWA2_091660 [Plasmodium ovale wallikeri]
KAE8770101.1	hypothetical protein D1007_58217 [Hordeum vulgare]
KKU69415.1	MAG: hypothetical protein UX92_C0013G0020, partial [Candidatus Amesbacteria bacterium GW2011_GWA1_47_20]
RFM53226.1	hypothetical protein DZC26_26415, partial [Escherichia coli]
EWS90747.1	hypothetical protein SSIG_01113 [Streptomyces filamentosus NRRL 11379]
WP_198846396.1	hypothetical protein [Acidovorax sp. IB03]
CDX52279.1	hypothetical protein MPL1032_140306 [Mesorhizobium plurifarium]
MBA2096764.1	No_Species
EKX94600.1	hypothetical protein HMPREF9999_00001 [Alloprevotella sp. oral taxon 473 str. F0040]
WP_219927561.1	hypothetical protein, partial [Aeromonas sp. HMWF017]
AFK36469.1	unknown [Lotus japonicus]
EKE09531.1	MAG: hypothetical protein ACD_16C00141G0001, partial [uncultured bacterium]
KAG6654573.1	hypothetical protein CIPAW_05G154900 [Carya illinoinensis]
OYP18408.1	hypothetical protein CFC35_31205 [Streptomyces sp. FBKL.4005]
ADI18656.1	hypothetical protein [uncultured Acidobacteria bacterium HF4000_26D02]
EAW91839.1	hCG2038895, partial [Homo sapiens]
EFY09802.1	hypothetical protein HMPREF0357_10597 [Erysipelothrix rhusiopathiae ATCC 19414]
CRH36120.1	hypothetical protein BN1183_CJ_01490 [Pantoea ananatis]
WP_217805819.1	hypothetical protein, partial [Salmonella enterica]
WP_181733661.1	AAA family ATPase, partial [Cylindrospermopsis raciborskii]
XP_009061373.1	hypothetical protein LOTGIDRAFT_145942, partial [Lottia gigantea]
PNI45782.1	USP10 isoform 11 [Pan troglodytes]
TPX55932.1	hypothetical protein SpCBS45565_g08475 [Spizellomyces sp. 'palustris']
KAH9290970.1	hypothetical protein KI387_035087, partial [Taxus chinensis]
CEK24873.1	conserved protein of unknown function [Xenorhabdus nematophila AN6/1]
OQY64528.1	hypothetical protein AB1845_0001 [Acinetobacter baumannii]
XP_002425519.1	conserved hypothetical protein [Pediculus humanus corporis]
EQA02943.1	hypothetical protein HPSNAG_0749, partial [Glaesserella parasuis str. Nagasaki]
MCB1911526.1	No_Species
EAW48919.1	hCG2028158, partial [Homo sapiens]
CRY99914.1	hypothetical protein [Neisseria meningitidis serogroup B]
KAI5382142.1	hypothetical protein KIW84_UN0134 [Pisum sativum]
BAG65056.1	unnamed protein product [Homo sapiens]
EEB64356.1	hypothetical protein CAPSP0001_0020 [Capnocytophaga sputigena ATCC 33612]
AGM32227.1	Ac1147-like protein [Coptotermes formosanus]
GGG87754.1	hypothetical protein GCM10011415_42950 [Salipiger pallidus]
EFB40216.1	hypothetical protein pah_c222o003 [Parachlamydia acanthamoebae str. Hall's coccus]
CAD5141571.1	protein of unknown function [Microbacterium sp. Nx66]
WP_216822697.1	ferritin-like domain-containing protein, partial [Paraburkholderia tropica]
XP_040748275.1	uncharacterized protein P175DRAFT_0401453, partial [Aspergillus ochraceoroseus IBT 24754]
AOE10197.1	hypothetical protein [uncultured bacterium]
WP_217900948.1	hypothetical protein, partial [Klebsiella pneumoniae]
KAF2135347.1	hypothetical protein K452DRAFT_239538, partial [Aplosporella prunicola CBS 121167]
EFF88860.1	hypothetical protein SSTG_04730 [Streptomyces sp. e14]
NP_001340733.1	zinc finger protein 875 isoform l [Homo sapiens]
TGB57416.1	hypothetical protein CRT22_10590 [Escherichia sp. E5028]
VVT14515.1	hypothetical protein SPHINGO361_130288 [Sphingomonas sp. EC-HK361]
RHS22775.1	hypothetical protein DWV71_12640, partial [Clostridium sp. AF12-28]
XP_011765721.1	protein GVQW1-like, partial [Macaca nemestrina]
OAL06181.1	hypothetical protein IQ06DRAFT_313325 [Stagonospora sp. SRC1lsM3a]
ELK37276.1	hypothetical protein MDA_GLEAN10012073 [Myotis davidii]
XP_011849754.1	PREDICTED: LOW QUALITY PROTEIN: laminin subunit alpha-1 [Mandrillus leucophaeus]
MRB84967.1	No_Species
KAA8892626.1	hypothetical protein FN846DRAFT_805410 [Sphaerosporella brunnea]
YP_009463602.1	hypothetical protein SG3EUKT974126.1 (chloroplast) [Haematococcus lacustris]
EDO29553.1	predicted protein, partial [Nematostella vectensis]
WP_261345564.1	sulfatase [Aquirufa lenticrescens]
MBP6613800.1	No_Species
WP_233264301.1	hypothetical protein, partial [Enterococcus faecium]
WP_218002605.1	hypothetical protein, partial [Nocardia brevicatena]
KAH9415512.1	hypothetical protein DERP_010368, partial [Dermatophagoides pteronyssinus]
CAD5139985.1	No_Species
KGA79987.1	putative cell wall-associated hydrolase [Yersinia enterocolitica]
KAF1852544.1	hypothetical protein Lal_00037278 [Lupinus albus]
PKX99747.1	hypothetical protein P168DRAFT_245600, partial [Aspergillus campestris IBT 28561]
WP_202973786.1	hypothetical protein [Ureibacillus chungkukjangi]
WP_122771467.1	hypothetical protein, partial [Pseudomonas viridiflava]
EDO60889.1	hypothetical protein CLOLEP_02495 [[Clostridium] leptum DSM 753]
XP_031145834.2	uncharacterized protein LOC116043362 [Sander lucioperca]
PVH79315.1	hypothetical protein DL98DRAFT_461316 [Cadophora sp. DSE1049]
WP_198845992.1	MoxR family ATPase [Acidovorax sp. IB03]
POE77924.1	hypothetical protein CFP56_09566 [Quercus suber]
GDY34818.1	hypothetical protein ACINB_07100 [Acidovorax sp. NB1]
EFA89036.1	hypothetical protein HMPREF0797_0041, partial [Staphylococcus epidermidis SK135]
APU76745.1	hypothetical protein BMI84_15395 [Vibrio parahaemolyticus]
EDL33434.1	mCG1049288, partial [Mus musculus]
KAI4800879.1	hypothetical protein KUCAC02_006997, partial [Chaenocephalus aceratus]
VDK63039.1	unnamed protein product, partial [Cylicostephanus goldi]
RZI93659.1	MAG: CTP synthase, partial [Rubrivivax sp.]
AOE13116.1	hypothetical protein [uncultured bacterium]
XP_027186898.1	uncharacterized protein LOC101489728 [Cicer arietinum]
KRZ48513.1	hypothetical protein T02_16311 [Trichinella nativa]
WP_232823188.1	hypothetical protein, partial [Oceanibium sediminis]
WP_213861886.1	hypothetical protein, partial [Escherichia coli]
EPJ27446.1	retrovirus-related Pol polyLINE-1 domain protein, partial [Chlamydia psittaci C19/98]
GGR54025.1	hypothetical protein GCM10010219_68040 [Streptomyces netropsis]
MCL5742034.1	No_Species
WP_207373069.1	PhoX family phosphatase [Acidovorax temperans]
BAH13211.1	unnamed protein product [Homo sapiens]
BAE89731.1	unnamed protein product [Macaca fascicularis]
KRX31100.1	hypothetical protein T06_946, partial [Trichinella sp. T6]
WP_223231845.1	hypothetical protein, partial [Campylobacter concisus]
TPX52925.1	hypothetical protein PhCBS80983_g06407 [Powellomyces hirtus]
WP_219727719.1	hypothetical protein, partial [Staphylococcus intermedius]
RPB20330.1	hypothetical protein L211DRAFT_893659, partial [Terfezia boudieri ATCC MYA-4762]
EFD68586.1	conserved hypothetical protein [Streptomyces lividans TK24]
EHH66677.1	hypothetical protein EGM_03717 [Macaca fascicularis]
BAC87545.1	unnamed protein product [Homo sapiens]
EAX02587.1	hCG1816008 [Homo sapiens]
ADI17495.1	hypothetical protein [uncultured bacterium HF0130_06E03]
KAF2488722.1	hypothetical protein BU16DRAFT_473388 [Lophium mytilinum]
MBP6297612.1	No_Species
BDA92371.1	hypothetical protein E3AUHO_50570 [Klebsiella pneumoniae subsp. pneumoniae]
CRH27638.1	IS1 transposase InsAB {ECO:0000313|EMBL:EMR91350.1} [Pantoea ananatis]
KWW27342.1	MAG: hypothetical protein AUK64_2225 [bacterium P201]
RAF64557.1	hypothetical protein DN552_31130, partial [Burkholderia multivorans]
OTO76902.1	hypothetical protein A5865_000761, partial [Enterococcus sp. 12E11_DIV0728]
XP_047302015.1	WAS protein family homolog 2 isoform X13 [Homo sapiens]
KAH0634637.1	hypothetical protein KY284_037423 [Solanum tuberosum]
GGX76347.1	hypothetical protein GCM10007392_49140 [Saccharospirillum salsuginis]
TMC59230.1	MAG: hypothetical protein E6J21_12530 [Chloroflexota bacterium]
KAF1856345.1	hypothetical protein Lal_00001461 [Lupinus albus]
WP_219928709.1	hypothetical protein, partial [Salmonella enterica]
HAY2906159.1	No_Species
KAE9414522.1	hypothetical protein Angca_003684, partial [Angiostrongylus cantonensis]
WP_212635211.1	hypothetical protein, partial [Salmonella enterica]
KOS36440.1	hypothetical protein ACN38_g12812, partial [Penicillium nordicum]
EFE68559.1	LOW QUALITY PROTEIN: conserved hypothetical protein, partial [Streptomyces viridosporus ATCC 14672]
ABD32059.1	hypothetical protein SAOUHSC_A01909 [Staphylococcus aureus subsp. aureus NCTC 8325]
RAL48029.1	hypothetical protein DM860_017806 [Cuscuta australis]
VXA82693.1	hypothetical protein ACIN8IBEIGE_120072 [Acinetobacter sp. 8I-beige]
WP_044395533.1	phosphonate ABC transporter substrate-binding protein [Acidovorax temperans]
EAW60506.1	hCG2040996, partial [Homo sapiens]
PNJ42045.1	ZNF611 isoform 15, partial [Pongo abelii]
WP_235205034.1	hypothetical protein, partial [Pseudomonas syringae]
GGG34453.1	hypothetical protein GCM10007425_31440 [Lysinibacillus alkalisoli]
VDO18229.1	unnamed protein product [Brugia timori]
NQO27765.1	No_Species
PHY95227.1	hypothetical protein CSR02_02090, partial [Acetobacter pomorum]
PNJ22040.1	FADS1 isoform 1, partial [Pongo abelii]
XP_035163464.1	pleckstrin homology domain-containing family G member 5 isoform X3 [Callithrix jacchus]
KPX89802.1	hypothetical protein ALO63_102747 [Pseudomonas amygdali pv. mori]
OYT99541.1	MAG: 2-oxoglutarate dehydrogenase E1 component [Burkholderiales bacterium PBB1]
KAF1771871.1	hypothetical protein GQ600_1038 [Phytophthora cactorum]
SOT40555.1	hypothetical protein F01_310057 [Burkholderia cenocepacia]
SOY47686.1	hypothetical protein CBM2589_B200020 [Cupriavidus taiwanensis]
XP_025373611.1	hypothetical protein FA10DRAFT_276667 [Acaromyces ingoldii]
WP_032607897.1	hypothetical protein, partial [Pseudomonas syringae]
WP_219811417.1	hypothetical protein, partial [Klebsiella pneumoniae]
GGE57294.1	hypothetical protein GCM10011391_40220 [Pullulanibacillus camelliae]
WP_195794342.1	glycerophosphodiester phosphodiesterase [Kinneretia sp. DAIF2]
XP_030083104.1	serine/arginine repetitive matrix protein 1-like [Serinus canaria]
CDF16991.1	uncharacterized protein BN728_00157 [Phocaeicola vulgatus CAG:6]
RAG12581.1	endonuclease, partial [Burkholderia multivorans]
PON86850.1	LOW QUALITY PROTEIN: hypothetical protein TorRG33x02_173760 [Trema orientale]
XP_011402158.1	Putative uncharacterized protein ART2, partial [Auxenochlorella protothecoides]
VAH91295.1	unnamed protein product [Triticum turgidum subsp. durum]
WP_107171986.1	nitrogen regulation protein NR(I) [Paracidovorax avenae]
WP_220454620.1	hypothetical protein, partial [Acinetobacter lactucae]
KAF4094541.1	hypothetical protein G5714_024745 [Onychostoma macrolepis]
KAD6120365.1	hypothetical protein E3N88_11636 [Mikania micrantha]
MCR2531467.1	No_Species
WP_221407412.1	MULTISPECIES: hypothetical protein, partial [Elizabethkingia]
AOE10336.1	hypothetical protein [uncultured bacterium]
EHH54354.1	hypothetical protein EGM_15176, partial [Macaca fascicularis]
EHH24659.1	hypothetical protein EGK_08355, partial [Macaca mulatta]
WP_146023761.1	hypothetical protein, partial [Pseudomonas sp. FW215-R3]
KAI2528324.1	tRNA splicing endonuclease subunit 2, partial [Homo sapiens]
KAG5070641.1	hypothetical protein JHK84_057295 [Glycine max]
KAI2598751.1	zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2 [Homo sapiens]
XP_020010301.1	LOW QUALITY PROTEIN: basic salivary proline-rich protein 1-like [Castor canadensis]
WP_094890006.1	hypothetical protein, partial [Enterococcus faecium]
AYP21295.1	IX [Human adenovirus 1]
EHH55411.1	hypothetical protein EGM_04619, partial [Macaca fascicularis]
EHH27277.1	hypothetical protein EGK_17439, partial [Macaca mulatta]
AOE06576.1	hypothetical protein [uncultured bacterium]
EMT98043.1	hypothetical protein ABNIH6_01795 [Acinetobacter baumannii ABNIH6]
RTK67603.1	hypothetical protein DRJ84_14575, partial [Enterococcus faecalis]
XP_024345032.1	hypothetical protein EGR_11314 [Echinococcus granulosus]
BAE89106.1	unnamed protein product [Macaca fascicularis]
KAF1883529.1	hypothetical protein Lal_00003831 [Lupinus albus]
WP_056415532.1	MULTISPECIES: sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB [unclassified Acidovorax]
UOQ22632.1	E1B large T antigen [Human mastadenovirus C]
RGW80916.1	hypothetical protein DWV53_05285 [Segatella copri]
XP_043347250.1	anther-specific proline-rich protein APG-like [Dermochelys coriacea]
EPS70023.1	hypothetical protein M569_04743, partial [Genlisea aurea]
AAF69609.1	PRO1847 [Homo sapiens]
KAB1278158.1	hypothetical protein Cadr_000005942 [Camelus dromedarius]
WP_251288254.1	No_Species
MCR2134573.1	No_Species
KKS81074.1	MAG: hypothetical protein UV56_C0001G0016, partial [Candidatus Woesebacteria bacterium GW2011_GWC1_43_10b]
GAL60548.1	hypothetical protein EV102420_46_00001 [Pseudescherichia vulneris NBRC 102420]
MBT9166179.1	No_Species
KRZ48505.1	hypothetical protein T02_1307, partial [Trichinella nativa]
EHH22620.1	hypothetical protein EGK_05928, partial [Macaca mulatta]
XP_035170023.1	LOW QUALITY PROTEIN: protein GVQW1-like, partial [Oxyura jamaicensis]
PJS61714.1	hypothetical protein CLF98_18735 [Vibrio cholerae]
CCE09490.1	hypothetical protein BRAS3843_3250003 [Bradyrhizobium sp. STM 3843]
XP_025393573.1	uncharacterized protein BO70DRAFT_411524, partial [Aspergillus heteromorphus CBS 117.55]
KAG8266653.1	hypothetical protein J6590_066769 [Homalodisca vitripennis]
WP_206759817.1	hypothetical protein, partial [Acinetobacter baumannii]
CAD5902049.1	hypothetical protein CMALT430_80001 [Carnobacterium maltaromaticum]
WP_016588283.1	carbon-phosphorus lyase complex subunit PhnI, partial [Yersinia pestis]
SOZ51765.1	hypothetical protein CBM2613_A110006 [Cupriavidus taiwanensis]
EHH56016.1	hypothetical protein EGM_05345, partial [Macaca fascicularis]
NP_874364.1	refilin-B [Homo sapiens]
WP_075810768.1	MULTISPECIES: hypothetical protein [unclassified Serinicoccus]
TKR78379.1	uncharacterized protein D5086_0000283000 [Populus alba]
CBY14143.1	unnamed protein product [Oikopleura dioica]
ADB44575.1	ATP synthase subunit 6, partial (mitochondrion) [Homo sapiens]
VAH00075.1	unnamed protein product [Triticum turgidum subsp. durum]
XP_050603073.1	nuclear receptor-interacting protein 2 isoform X1 [Macaca thibetana thibetana]
WP_218642226.1	hypothetical protein, partial [Paenibacillus odorifer]
KEP46525.1	hypothetical protein V565_194550, partial [Rhizoctonia solani 123E]
AOE11689.1	hypothetical protein [uncultured bacterium]
KAH6862455.1	hypothetical protein B0T12DRAFT_95669 [Alternaria alternata]
PWY61609.1	hypothetical protein BO83DRAFT_243079, partial [Aspergillus eucalypticola CBS 122712]
CAF2098270.1	unnamed protein product [Brassica napus]
WP_235013408.1	hypothetical protein, partial [Colwellia marinimaniae]
SPC13943.1	hypothetical protein CT19431_80259 [Cupriavidus taiwanensis]
WP_215899350.1	hypothetical protein, partial [Acinetobacter baumannii]
KAF2834111.1	hypothetical protein M501DRAFT_716531, partial [Patellaria atrata CBS 101060]
EHH27951.1	hypothetical protein EGK_18274, partial [Macaca mulatta]
WP_226784285.1	hypothetical protein, partial [Bifidobacterium longum]
WP_148873435.1	carbon-phosphorus lyase complex subunit PhnI, partial [Serratia marcescens]
RXN56835.1	hypothetical protein C1H89_10945, partial [Streptococcus agalactiae]
WP_218212245.1	hypothetical protein, partial [Pseudomonas sp. 2822-15]
XP_034799129.1	putative uncharacterized protein encoded by LINC00269 [Pan paniscus]
MCA3159377.1	No_Species
KJG94335.1	hypothetical protein UC40_25285, partial [Escherichia coli]
GGH56114.1	hypothetical protein GCM10007358_18100 [Jeotgalicoccus schoeneichii]
XP_034792995.1	regulator of nonsense transcripts 3A isoform X10 [Pan paniscus]
WP_189377347.1	endonuclease/exonuclease/phosphatase family protein [Actinomadura coerulea]
WP_198848174.1	IS3 family transposase, partial [Acidovorax sp. IB03]
BAB21904.1	hypothetical protein [Macaca fascicularis]
XP_002959375.1	hypothetical protein VOLCADRAFT_84863, partial [Volvox carteri f. nagariensis]
AAF24019.1	PRO0117 [Homo sapiens]
WP_202984662.1	hypothetical protein [Paenibacillus sp. EKM205P]
XP_017195694.1	PREDICTED: basic proline-rich protein-like [Oryctolagus cuniculus]
XP_043318304.1	LOW QUALITY PROTEIN: basic proline-rich protein-like [Cervus canadensis]
AAC35898.1	Ly-49L [Homo sapiens]
TAF69172.1	MAG: ornithine carbamoyltransferase, partial [Curvibacter sp.]
MBS1145596.1	No_Species
OOF89765.1	hypothetical protein ASPCADRAFT_60843 [Aspergillus carbonarius ITEM 5010]
PNJ25041.1	EOGT isoform 3 [Pongo abelii]
KRX86327.1	hypothetical protein T12_9312, partial [Trichinella patagoniensis]
OIJ21701.1	hypothetical protein BKP45_03100 [Anaerobacillus alkalidiazotrophicus]
OFA32603.1	membrane protein [Clostridioides difficile]
XP_009037528.1	hypothetical protein AURANDRAFT_27598, partial [Aureococcus anophagefferens]
WP_223670051.1	hypothetical protein, partial [Xanthomonas citri]
EDN81768.1	hypothetical protein ACTODO_00002 [Schaalia odontolytica ATCC 17982]
SBV93955.1	hypothetical protein KL86CLO1_10448 [uncultured Eubacteriales bacterium]
EDO26050.1	predicted protein, partial [Nematostella vectensis]
WP_227630970.1	hypothetical protein, partial [Klebsiella pneumoniae]
KAF0268158.1	hypothetical protein FOG48_02768 [Hanseniaspora uvarum]
CRH30257.1	hypothetical protein BN1182_BQ_01900 [Pantoea ananatis]
EHH22445.1	hypothetical protein EGK_05714, partial [Macaca mulatta]
WP_220084216.1	hypothetical protein, partial [Salmonella enterica]
KRY99991.1	hypothetical protein T4B_1994 [Trichinella pseudospiralis]
EES47786.1	conserved hypothetical protein, partial [Clostridium botulinum E1 str. 'BoNT E Beluga']
KTD75003.1	hypothetical protein Lwal_3044 [Legionella waltersii]
EGU37607.1	hypothetical protein VIS19158_09387 [Vibrio scophthalmi LMG 19158]
WP_248819871.1	hypothetical protein, partial [Klebsiella pneumoniae]
KAF1938024.1	hypothetical protein EJ02DRAFT_355461, partial [Clathrospora elynae]
CQR26395.1	hypothetical protein THICB1_10138 [Thiomonas arsenitoxydans]
MBS6332321.1	No_Species
SIG42355.1	Uncharacterised protein [Mycobacteroides abscessus subsp. abscessus]
AOM43511.1	hypothetical protein FORC28_0519 [Escherichia coli]
WP_236473944.1	ATP-binding cassette domain-containing protein, partial [Pseudomonas syringae]
MCA3826226.1	No_Species
SPE34835.1	hypothetical protein SBBP1_740017 [Burkholderiales bacterium]
WP_206184359.1	hypothetical protein, partial [Sporolactobacillus sp. THM19-2]
GGR11215.1	hypothetical protein GCM10010195_75460 [Kitasatospora griseola]
XP_047277119.1	uncharacterized protein LOC124901780 [Homo sapiens]
EBA15655.1	hypothetical protein RSK20926_15596 [Roseobacter sp. SK209-2-6]
PSD99776.1	hypothetical protein C7G66_19010, partial [Acinetobacter baumannii]
GIC84184.1	hypothetical protein FMO003_44640 [Moritella sp. F3]
XP_017744242.1	PREDICTED: double-stranded RNA-specific editase 1 isoform X2 [Rhinopithecus bieti]
EAW61159.1	hCG1814970 [Homo sapiens]
CAG5350155.1	L1 transposable element [Streptococcus pneumoniae]
RJF55190.1	hypothetical protein D4L84_08895, partial [Campylobacter coli]
RII11519.1	hypothetical protein CUC08_Gglean005516 [Alternaria sp. MG1]
MQN13937.1	No_Species
GBR52218.1	hypothetical protein AA11825_2180 [Acetobacter pomorum DSM 11825]
KAG9755899.1	hypothetical protein KCU95_g20450, partial [Aureobasidium melanogenum]
CWM28216.1	Cell wall-associated hydrolase [Neisseria meningitidis]
MBU6159880.1	No_Species
WP_219907755.1	RBD-like domain-containing protein, partial [Aphanothece hegewaldii]
ADI17622.1	hypothetical protein [uncultured delta proteobacterium HF0130_19C20]
KAI3493753.1	hypothetical protein L1887_40959 [Cichorium endivia]
KAF3652576.1	hypothetical protein FXO37_17464 [Capsicum annuum]
XP_044257732.1	uncharacterized protein LOC123006891 [Tribolium madens]
EMD58210.1	hypothetical protein COCSADRAFT_104431, partial [Bipolaris sorokiniana ND90Pr]
KTD43805.1	hypothetical protein Loak_0355 [Legionella oakridgensis]
WP_008906439.1	PhnD/SsuA/transferrin family substrate-binding protein, partial [Acidovorax sp. NO-1]
EHH29510.1	hypothetical protein EGK_09960, partial [Macaca mulatta]
WP_256926994.1	DUF533 domain-containing protein [Hydrogenophaga sp. IBVHS1]
NBW48901.1	No_Species
AGT75924.1	hexon associated protein [Human mastadenovirus C]
WP_218341935.1	hypothetical protein, partial [Escherichia coli]
VVN41135.1	hypothetical protein PS634_05424 [Pseudomonas fluorescens]
KIM19403.1	hypothetical protein M408DRAFT_83569, partial [Serendipita vermifera MAFF 305830]
WP_204583109.1	hypothetical protein, partial [Cronobacter sakazakii]
EHV15748.1	hypothetical protein ECDEC4F_5658 [Escherichia coli DEC4F]
ADG25202.1	hypothetical protein lpa_02689 [Legionella pneumophila 2300/99 Alcoy]
EHT19665.1	hypothetical protein SACIG1057_1906 [Staphylococcus aureus subsp. aureus CIG1057]
WP_233099631.1	NUDIX domain-containing protein [Acidovorax sp. IB03]
PEP39114.1	hypothetical protein CN564_30220, partial [Bacillus pseudomycoides]
MBS1241602.1	No_Species
PNI23228.1	VPS53 isoform 2 [Pan troglodytes]
EGE58318.1	hypothetical protein RHECNPAF_332002 [Rhizobium etli CNPAF512]
HCW41083.1	No_Species
NP_817264.1	ORF40s (chloroplast) [Pinus koraiensis]
NRN77723.1	No_Species
CDT71947.1	hypothetical protein VCR15J5_90001 [Vibrio crassostreae]
EEW89200.1	cell wall-associated hydrolase [Brucella suis bv. 4 str. 40]
VXC79623.1	hypothetical protein PSEUDO9AG_41340 [Pseudomonas sp. 9Ag]
CAG7863246.1	unnamed protein product, partial [Brassica rapa]
GAA57881.1	hypothetical protein CLF_113308 [Clonorchis sinensis]
BAJ11782.1	dehydration responsive protein, partial [Corchorus trilocularis]
XP_036152945.1	interleukin-1 receptor-associated kinase 4 isoform X2 [Myotis myotis]
GFF97600.1	hypothetical protein IFM47457_11453 [Aspergillus lentulus]
MBN9321933.1	No_Species
VDO15579.1	unnamed protein product [Brugia timori]
CCE25153.1	conserved protein of unknown function [Methylotuvimicrobium alcaliphilum 20Z]
GAO47202.1	hypothetical protein G7K_1412-t1 [Saitoella complicata NRRL Y-17804]
NDB98984.1	No_Species
KPF49170.1	2-oxoglutarate dehydrogenase [beta proteobacterium AAP65]
AOE06857.1	hypothetical protein [uncultured bacterium]
ADI17938.1	hypothetical protein [uncultured Desulfobacterales bacterium HF0200_07G10]
OUI35902.1	hypothetical protein AZZ74_000369, partial [Klebsiella pneumoniae]
KEH17018.1	hypothetical protein MTR_0052s0030 [Medicago truncatula]
XP_020007669.1	uncharacterized protein LOC109675355 [Castor canadensis]
CAG8847236.1	46323_t:CDS:2, partial [Gigaspora margarita]
EAW55394.1	thiopurine S-methyltransferase, isoform CRA_b [Homo sapiens]
ADI72904.1	hypothetical protein, partial [Ophiocordyceps unilateralis]
ARZ56321.1	hypothetical protein BAGQ_0012 [Bacillus velezensis]
DAD24277.1	TPA_asm: hypothetical protein HUJ06_025741 [Nelumbo nucifera]
WP_046822975.1	hypothetical protein, partial [Paraclostridium benzoelyticum]
PGZ27577.1	hypothetical protein COE54_24980, partial [Bacillus cereus]
EFS80503.1	hypothetical protein HMPREF9597_00208 [Cutibacterium acnes HL005PA4]
CCI55013.1	hypothetical protein BN13_930004 [Tetrasphaera jenkinsii Ben 74]
EHT17433.1	hypothetical protein SACIG1057_2897 [Staphylococcus aureus subsp. aureus CIG1057]
WP_146032261.1	reverse transcriptase domain-containing protein, partial [Xanthomonas oryzae]
XP_030770623.1	calcineurin-binding protein cabin-1 isoform X2 [Rhinopithecus roxellana]
KXS52094.1	MAG: hypothetical protein AWU57_3522 [Marinobacter sp. T13-3]
ADI18658.1	hypothetical protein [uncultured Acidobacteria bacterium HF4000_26D02]
WP_252517772.1	RBD-like domain-containing protein, partial [Escherichia coli]
GDX16141.1	hypothetical protein LBMAG04_06510 [Actinomycetes bacterium]
MBP8147592.1	No_Species
KAF4214507.1	hypothetical protein CNMCM5878_009119 [Aspergillus fumigatiaffinis]
WP_206052557.1	hypothetical protein, partial [Escherichia coli]
VTX53468.1	Uncharacterised protein [Haemophilus parainfluenzae]
SIN58756.1	Uncharacterised protein [Mycobacteroides abscessus subsp. abscessus]
WP_252515876.1	RBD-like domain-containing protein, partial [Escherichia coli]
XP_016796394.2	disrupted in schizophrenia 1 protein isoform X7 [Pan troglodytes]
NBI65131.1	No_Species
XP_024311554.1	uncharacterized protein LOC104585233 [Brachypodium distachyon]
XP_009958917.1	PREDICTED: 40S ribosomal protein S3 isoform X2 [Leptosomus discolor]
KAG1934527.1	hypothetical protein F2P79_019768 [Pimephales promelas]
KKB00979.1	hypothetical protein Z012_08970, partial [Avibacterium paragallinarum]
WP_220386251.1	hypothetical protein, partial [Klebsiella pneumoniae]
BAU03701.1	hypothetical protein VIGAN_UM160600, partial [Vigna angularis var. angularis]
KAF3945938.1	hypothetical protein CMV_027740, partial [Castanea mollissima]
WP_251294502.1	hypothetical protein, partial [Escherichia coli]
BAC85205.1	unnamed protein product [Homo sapiens]
WP_154164653.1	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein [Comamonas sp. CAH-2]
EHH55167.1	hypothetical protein EGM_04319, partial [Macaca fascicularis]
PNI82965.1	C4orf22 isoform 5 [Pan troglodytes]
EDO30040.1	predicted protein, partial [Nematostella vectensis]
EXY27030.1	hypothetical protein M080_2543, partial [Bacteroides fragilis str. 3397 T10]
KAH2821668.1	hypothetical protein KXV85_002614, partial [Aspergillus fumigatus]
