qseqid,frequency
"Uncultured bacterium partial 16S rRNA gene, clone EBP0985",1
"Uncultured bacterium clone ASV_1254 16S ribosomal RNA gene, partial sequence",1
"Lichenihabitans sp. PAMC28606 chromosome, complete genome",1
"Sphingobium chlorophenolicum strain L-1 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04IH61I 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nck338h04c1 16S ribosomal RNA gene, partial sequence",1
"Acinetobacter variabilis strain AV_175 chromosome, complete genome",1
"Uncultured bacterium clone OTU80-76 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: YU-29-B",1
Homo sapiens cell-line LNCaP PTI-1 5' UTR-like sequence,1
"Burkholderia sp. strain PSB3 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome unknown clone VMRC59-420O21, complete sequence",1
"Uncultured bacterium clone nbw533c09c1 16S ribosomal RNA gene, partial sequence",1
"Pseudooceanicola algae strain Lw-13e chromosome, complete genome",1
"Croceicoccus marinus strain OT19 chromosome, complete genome",1
"Escherichia coli THO-003 DNA, complete genome",1
"Ensifer adhaerens strain E-60 plasmid p-2, complete sequence",1
"Weissella cibaria strain SD123 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04I9G1T 23S ribosomal RNA gene, partial sequence",1
"Human DNA sequence from clone RP5-933K21 on chromosome 6q25.2-26, complete sequence",1
"Homo sapiens HERC2 pseudogene 3 (HERC2P3), non-coding RNA",1
"PREDICTED: Saimiri boliviensis boliviensis zinc finger MYM-type containing 4 (ZMYM4), transcript variant X4, mRNA",1
"Human DNA sequence from clone RP11-298J20 on chromosome 10, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04H8V98 23S ribosomal RNA gene, partial sequence",1
"Ferribacterium limneticum strain 76 chromosome, complete genome",1
"Burkholderia contaminans strain toggle1 plasmid unnamed1, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04H5WHI 23S ribosomal RNA gene, partial sequence",1
"Coniochaeta fodinicola strain YoF 18S ribosomal RNA gene, partial sequence",1
"Roseibium aggregatum strain LZB033 chromosome, complete genome",1
Homo sapiens 12 BAC RP11-693J15 (Roswell Park Cancer Institute Human BAC Library) complete sequence,1
"Rouxiella badensis subsp. acadiensis strain C173 chromosome, complete genome",1
"Methylobacterium currus strain TP-3 chromosome 2, complete sequence",1
Uncultured gamma proteobacterium HF0010_20H22 genomic sequence,1
"Haemophilus influenzae PittGG, complete genome",1
"Uncultured bacterium clone F5K2Q4C04IYJT9 23S ribosomal RNA gene, partial sequence",1
"Acinetobacter junii strain T4 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens DNA, sequence_id: unplaced_0080",1
"Oenococcus oeni strain ATCC BAA-1163 chromosome, complete genome",1
"Chryseobacterium gambrini strain B-2 16S ribosomal RNA gene, partial sequence",1
